.bb,country-code,"Government of Barbados
Ministry of Economic Affairs and Development
Telecommunications Unit",198.41.222.254,AS13335
.bbc,generic,British Broadcasting Corporation,156.154.103.3,AS397213
.bbt,generic,BB&T Corporation,192.42.175.30,AS27544
.bbva,generic,BANCO BILBAO VIZCAYA ARGENTARIA  SA,103.49.83.44,AS43519
.bcg,generic,The Boston Consulting Group  Inc,65.22.216.25,AS12041
.bcn,generic,Municipi de Barcelona,,AS8391
.bd,country-code,Posts and Telecommunications Division,123.49.12.112,AS17494
.be,country-code,DNS Belgium vzw/asbl,194.0.25.36,AS1921
.beats,generic,Beats Electronics  LLC,65.22.60.9,AS12041
.beauty,generic,XYZCOM LLC,194.169.218.119,AS199330
.beer,generic,Registry Services  LLC,156.154.100.3,AS397220
.bentley,generic,Bentley Motors Limited,156.154.100.3,AS397220
.berlin,generic,dotBERLIN GmbH & Co KG,194.0.25.16,AS1921
.best,generic,BestTLD Pty Ltd,212.18.248.109,AS201304
.bestbuy,generic,BBY Solutions  Inc,65.22.219.9,AS207266
.bet,generic,Afilias Limited,65.22.36.17,AS12041
.bf,country-code,ARCE-AutoritÈ de RÈgulation des Communications Electroniques,212.52.146.50,AS25543
.bg,country-code,RegisterBG,192.92.129.99,AS3245
.bh,country-code,Telecommunications Regulatory Authority (TRA),212.18.249.115,AS201303
.bharti,generic,Bharti Enterprises (Holding) Private Limited,192.42.175.30,AS27544
.bi,country-code,Centre National de l'Informatique,196.2.8.205,AS25429
.bible,generic,American Bible Society,156.154.170.100,AS397213
.bid,generic,dot Bid Limited,156.154.157.25,AS19905
.bike,generic,Binky Moon  LLC,37.209.192.7,AS12008
.bing,generic,Microsoft Corporation,192.42.175.30,AS27544
.bingo,generic,Binky Moon  LLC,37.209.192.7,AS12008
.bio,generic,Afilias Limited,65.22.84.9,AS12041
.biz,generic-restricted,Registry Services  LLC,156.154.124.65,AS397220
.bj,country-code,Autorité de Régulation des Communications Electroniques et de la Poste du Bénin (ARCEP BENIN),154.65.28.218,AS328098
.black,generic,Afilias Limited,65.22.68.33,AS12041
.blackfriday,generic,UNR Corp,64.96.1.1,AS62831
.blockbuster,generic,Dish DBS Corporation,65.22.95.25,AS207266
.blog,generic,Knock Knock WHOIS There  LLC,212.18.248.94,AS201304
.bloomberg,generic,Bloomberg IP Holdings LLC,192.42.175.30,AS27544
.blue,generic,Afilias Limited,65.22.29.9,AS12041
.bm,country-code,Registry General Department  Ministry of Home Affairs,199.249.124.9,AS207266
.bms,generic,Bristol-Myers Squibb Company,192.42.175.30,AS27544
.bmw,generic,Bayerische Motoren Werke Aktiengesellschaft,185.24.64.76,AS60890
.bn,country-code,Authority for Info-communications Technology Industry of Brunei Darussalam (AITI),194.0.1.33,AS42909
.bnpparibas,generic,BNP Paribas,65.22.67.9,AS207266
.bo,country-code,Agencia para el Desarrollo de la Información de la Sociedad en Bolivia,204.61.216.48,AS42
.boats,generic,XYZCOM LLC,212.18.248.134,AS201304
.boehringer,generic,Boehringer Ingelheim International GmbH,65.22.191.17,AS207266
.bofa,generic,Bank of America Corporation,192.42.175.30,AS27544
.bom,generic,Núcleo de Informação e Coordenação do Ponto BR - NICbr,200.192.233.10,AS11284
.bond,generic,Shortdot SA,194.169.218.85,AS199330
.boo,generic,Charleston Road Registry Inc,216.239.32.105,AS15169
.book,generic,Amazon Registry Services  Inc,103.49.82.61,AS43519
.booking,generic,Bookingcom BV,156.154.158.27,AS19905
.bosch,generic,Robert Bosch GMBH,192.42.175.30,AS27544
.bostik,generic,Bostik SA,194.0.9.1,AS2484
.boston,generic,Boston TLD Management  LLC,156.154.103.3,AS397213
.bot,generic,Amazon Registry Services  Inc,213.248.218.55,AS43519
.boutique,generic,Binky Moon  LLC,37.209.192.7,AS12008
.box,generic,Intercap Registry Inc,212.18.248.139,AS201304
.br,country-code,Comite Gestor da Internet no Brasil,200.219.148.10,AS53035
.bradesco,generic,Banco Bradesco SA,213.248.217.37,AS43519
