FIXO,56,NO,Oslo,www.fixo.no,59.8939529,10.6450336
PTT Manaus,56,BR,Manaus,ix.br,-3.121574,-60.036263
GR-IX Athens,56,GR,Athens,www.gr-ix.gr,37.9909517,23.6682988
LINX NoVA,55,US,Northern Virginia,www.linx.net,38.7253733,-78.9094038
NIX.SK,55,SK,Bratislava,www.nix.sk,48.1359244,16.975832
VSIX,55,IT,Padova,www.vsix.it,45.4066029,11.8212051
Netnod Copenhagen,55,DK,Malmo,www.netnod.se,55.5861854,12.9489561
IXPN Lagos,55,NG,Lagos,www.ixp.net.ng,6.5483768,3.1438705
TOHU IX,55,CN,Guangzhou,ix.bairuo.top,23.1258709,112.6673368
IX Australia SA,54,AU,Adelaide,www.ix.asn.au,-34.9983537,138.0506914
npIX,53,NP,Kathmandu,www.npix.net.np,-4.2234452,89.7118839
PTT Natal,53,BR,Natal,ix.br,-5.7997439,-35.2922853
BALT-IX,53,LT,Vilnius,www.balt-ix.lt,54.7007582,24.9728502
Balcan-IX,52,RO,Bucharest,www.balcan-ix.net,44.4379853,25.9545519
DE-CIX Lisbon,52,PT,Lisbon,www.de-cix.net,38.7437396,-9.2302438
DE-CIX ASEAN,52,MY,Johor Bahru,www.de-cix.asia,1.5450255,103.6395861
MSK-IX Ekaterinburg,51,RU,Ekaterinburg,www.msk-ix.ru,56.8119441,60.3371987
Boston IX,50,US,Boston,www.bostonix.net,42.3145186,-71.11037
Equinix Melbourne,49,AU,Melbourne,ix.equinix.com,-37.970154,144.4926753
PTT Londrina,49,BR,Londrina,ix.br,-23.3211063,-51.2358038
SBIX,49,CH,Zurich,www.securebit.ch,47.3775499,8.4666748
NSPIXP6,48,JP,Tokyo,www.wide.ad.jp,35.6684415,139.6007808
BFD-IX,47,GB,Bradford,bfd-ix.net,53.7970776,-1.8244003
DIX,46,DK,Copenhagen,www.dix.dk,55.6713442,12.523784
CATNIX,46,ES,Barcelona,www.catnix.net,41.3948976,2.0787274
BBIX Hong Kong,46,HK,Hong Kong,www.bbix.net,22.3531176,113.8474978
CLOUD-IX MSK,46,RU,Moscow,www.cloud-ix.net,55.5815244,36.8250994
Equinix Zurich,45,CH,Zurich,www.equinix.ch,47.3775499,8.4666748
PIPE Networks Sydney,45,AU,Sydney,www.pipenetworks.com,-33.7744108,150.3719417
EdgeIX - Perth,45,AU,Perth,www.edgeix.net,-32.0376667,115.4010593
BKNIX,44,TH,Bangkok,bknix.co.th,13.7251088,100.3529063
GigaPix,44,PT,Lisbon,www.gigapix.pt,38.7437396,-9.2302438
CIX,44,HR,Zagreb,www.cix.hr,45.8403496,15.8242461
SVAO-IX,44,RU,Moscow,www.svao-ix.ru,55.5815244,36.8250994
CIXP,44,CH,Geneva,www.cixp.net,46.2050836,6.109069
PIT Peru,44,PE,Lima,www.pitperu.net,-12.025827,-77.2679825
LocIX Netherlands,44,NL,Meppel,locix.online,52.7116376,6.1289473
PTT Bel¨¦m,43,BR,Bel¨¦m,ix.br,-1.2723039,-48.7404715
ESPANIX Upper LAN,42,ES,Madrid,www.espanix.net,40.4381311,-3.8196229
PTT Goi?nia,42,BR,Goi?nia,ix.br,-16.6990567,-49.2363408
CNX,42,KH,Phnom Penh,cnx.net.kh,11.5796669,104.7500978
GetaFIX,41,PH,Manila,getafix.ph,14.5965788,120.9445401
SMILE-LV,41,LV,Riga,www.smile-ixp.net,56.9715357,23.8489807
MegaIX Singapore,41,SG,Singapore,megaport.com,1.3143394,103.704161
MidWest-IX - Indy,41,US,Indianapolis,www.fd-ix.com,39.7799642,-86.2728363
CABASE-COR,41,AR,C¨®rdoba,www.cabase.org.ar,-31.399084,-64.3344306
KIXP Nairobi,41,KE,Nairobi,www.tespok.co.ke,-3.2999796,26.3969848
QCIX,41,US,Davenport,www.qcix.net,41.5412579,-90.7290656
CRIX,40,CR,San Jose,www.crix.cr,9.9356284,-84.1483648
SFINX,40,FR,Paris,www.sfinx.fr,48.8589507,2.2770197
DE-CIX Istanbul,39,TR,Istanbul,www.de-cix.net,41.0055005,28.7319863
STLIX,39,US,Saint Louis,www.stlix.net,38.6532851,-90.3835485
DE-CIX Delhi,39,IN,Delhi,www.de-cix.in,28.6472799,76.8130637
FICIX,38,FI,Helsinki,www.ficix.fi,60.11021,24.7385011
Hopus,38,FR,Paris,hopus.net,48.8589507,2.2770197
LINX Scotland,38,GB,Scotland,www.linx.net,55.0467065,-12.4045494
Any2 Silicon Valley,38,US,San Jose,www.coresite.com,37.2970778,-122.0976083
RoNIX,37,RO,Bucharest,anisp.ro,44.4379853,25.9545519
TWIX,37,TW,Taipei,www.twix.net,25.0856513,121.4214131
NIXI Chennai,37,IN,Chennai,nixi.in,13.0480438,79.9288072
Asteroid Amsterdam,37,NL,Amsterdam,www.asteroidhq.com,52.3547925,4.7638761
PyramIX,37,EG,Cairo,www.py-ix.net,30.0596185,31.1884235
Any2 East,37,US,Washington DC,www.coresite.com,38.893938,-77.1546625
NYIIX Los Angeles,36,US,Los Angeles,www.nyiix.net,34.0207305,-118.6919296
PTT Lajeado,35,BR,Lajeado,ix.br,-29.4498076,-52.0655421
SBIX DUS,35,DE,Dusseldorf,www.securebit.ch,51.2385861,6.6742657
TH-IX,35,TH,Bangkok,th-ix.net,13.7251088,100.3529063
MBIX,34,CA,Winnipeg,www.mbix.ca,49.8539272,-97.4324122
Equinix Seattle,34,US,Seattle,ix.equinix.com,47.6131746,-122.4821496
N-IX,34,DE,Nuernberg,www.n-ix.net,49.4362322,10.9929525
OmahaIX,34,US,Omaha,www.omahaix.com,41.292032,-96.2213347
MegaIX Ashburn,34,US,Ashburn,www.megaport.com,39.0300728,-77.5471636
NIXI Delhi,34,IN,Delhi,nixi.in,28.6472799,76.8130637
LIXP Vilnius,34,LT,Vilnius,www.lixp.lt,54.7007582,24.9728502
SIX SI,34,SI,Ljubljana,www.arnes.si,46.06627,14.3920137
CN-IX Shanghai,34,CN,ShangHai,www.cn-ix.com,31.2243084,120.9162604
EdgeIX - Melbourne,34,AU,Melbourne,www.edgeix.net,-37.970154,144.4926753
Lillix,33,FR,Lille,www.lillix.fr,50.6311554,2.9771204
NDIX,33,NL,Enschede,www.ndix.net,52.2233633,6.7985078
CHIX-CH,33,CH,Frauenfeld,chix.ch,47.5570076,8.8567755
IXPlay Peers,33,ES,Madrid,www.ixplay.es,40.4381311,-3.8196229
AMS-IX Bay Area,32,US,San Francisco,bay.ams-ix.net,37.757815,-122.5076406
SOX Serbia,32,RS,Belgrade,www.sox.rs,44.8154033,20.2825114
Od-IX,32,UA,Odessa,od-ix.net,46.460123,30.5717022
PHOpenIX,32,PH,Manila,www.phopenix.net,14.5965788,120.9445401
OpenSwitch-IX,32,IN,Kolkata,openswitchix.com,22.6763858,88.0495267
Rheintal IX,31,LI,Schaanwald,www.rheintal-ix.net,47.2026822,9.5515372
BatamIX,31,ID,Jakarta,batamix.net,-6.2293867,106.6894291
SOX Singapore,30,SG,Singapore,www.sox.net.sg,1.3143394,103.704161
angonix,30,AO,Luanda,angonix.net,-8.8533562,13.2140634
UIXP,30,UG,Kampala,uixp.co.ug,0.3132008,32.5290843
CIX-ATL,30,US,Atlanta,www.communityix.org,33.7679192,-84.5606911
AMS-IX Chicago,29,US,Chicago,chi.ams-ix.net,41.8339042,-88.0121566
IX Leeds,29,GB,Leeds,ixleeds.net,53.8061236,-1.6758163
PTT Cuiab¨¢,29,BR,Cuiab¨¢,ix.br,-15.6142309,-56.111848
GIXA,29,GH,Accra,www.gixa.org.gh,5.5913754,-0.2497706
MCIX,29,ID,Jakarta,www.napinfo.co.id,-6.2293867,106.6894291
LITIX,29,LT,Vilnius,datalogistics.lt,54.7007582,24.9728502
IF-IX,29,UA,Ivano-Frankivsk,ix.if.ua,48.9118647,24.6470888
ZXIX Hong Kong,29,HK,Hong Kong,ix.zxinc.org,22.3531176,113.8474978
MegaIX Los Angeles,28,US,Los Angeles,megaport.com,34.0207305,-118.6919296
OhioIX,28,US,Ohio,ohioix.net,40.3459055,-84.9130391
PTT S?o Jos¨¦ do Rio Preto,28,BR,S?o Jos¨¦ do Rio Preto,ix.br,-20.7836722,-49.4995224
AIX-BD,28,BD,Dhaka,www.aamratechnologies.com,23.7808875,90.2792376
RIX,27,IS,Reykjavik,www.rix.is,64.1335484,-21.9224818
SAIX,27,AT,Salzburg,www.saix.at,47.802904,12.9863898
CABASE-MZA,27,AR,Mendoza,www.cabase.org.ar,-34.6956701,-73.0243401
MegaIX Sofia,27,BG,Sofia,megaport.com,42.6955992,23.1838608
IX.br (PTT.br) Aracaju,27,BR,Aracaju,ix.br,-11.0056387,-37.2432448
VarnaIX,27,BG,Varna,www.varnaix.net,43.2050059,27.8028227
DE-CIX Palermo,26,IT,Palermo,www.de-cix.net,38.1406578,13.287248
STHIX Copenhagen,26,DK,Copenhagen,www.sthix.net,55.6713442,12.523784
IIX-Bali,26,ID,Denpasar,www.iix.net.id,-8.6725072,115.1542322
ROPN-IX,26,RO,Bucharest,www.ropnix.com,44.4379853,25.9545519
BGP.Exchange,26,AQ,Global,www.bgp.exchange,35.655954,139.6938659
SLIX,25,US,Salt Lake City,slix.net,40.7767833,-112.0605713
POZIX,25,PL,Poznan,www.pozix.pl,52.4006553,16.7615816
SH-IX,25,AE,Fujairah,www.smarthubix.ae,25.1437088,56.2918738
SNAP,25,US,Atlanta,www.southeastnap.com,33.7679192,-84.5606911
RTIX,25,EE,Tallinn,www.ria.ee,59.4717421,24.4580617
Community-IX,25,DE,Berlin,www.community-ix.de,52.5069312,13.1445465
TIX Tanzania,25,TZ,Dar es Salaam,tix.or.tz,-6.7692302,39.1142022
EdgeIX - Brisbane,25,AU,Brisbane,www.edgeix.net,-27.3798035,152.4327088
STACIX,25,DE,Frankfurt,stacix.net,50.1213479,8.4964791
MegaIX Dallas,24,US,Dallas,megaport.com,32.8209296,-97.0117503
S-IX,24,DE,Stuttgart,www.stuttgart-ix.de,48.7793504,9.0371303
FICIX Espoo,24,FI,Espoo,www.ficix.fi,60.2068054,24.3949349
PTT Teresina,24,BR,Teresina,ix.br,-5.1856946,-43.0650244
ISTIX,24,TR,istanbul,www.istix.com.tr,41.0055005,28.7319863
Frys-IX,24,NL,Frysl?n,www.frys-IX.net,39.8959751,116.5020003
DRF IX,23,US,Honolulu,www.drfortress.com,21.3282956,-157.9391614
SUPRnet,23,US,Saint George,suprnet.net,37.1050253,-113.7035843
TREX,23,FI,Tampere,www.trex.fi,61.6314345,23.2698895
Equinix Atlanta,23,US,Atlanta,ix.equinix.com,33.7679192,-84.5606911
PTT Foz do Igua?u,23,BR,Foz do Igua?u,ix.br,-25.5171112,-54.6170042
MSK-IX Rostov-on-Don,23,RU,Rostov-on-Don,www.msk-ix.ru,47.2611562,39.4879148
CSL Thai-IX Singapore,23,TH,Bangkok,www.cslthai-ix.net,13.7251088,100.3529063
Equinix Osaka,22,JP,Osaka,ix.equinix.com,34.6778003,135.3459503
TPA-IX,22,US,Tampa,www.tpaix.net,27.9947147,-82.5943682
NSPIXP3,22,JP,Osaka,nspixp.wide.ad.jp,34.6778003,135.3459503
PhillyIX,22,US,Philadelphia,phillyix.net,40.0026767,-75.2581146
Equinix Manchester,22,GB,Manchester,www.equinix.co.uk,14.1585228,-106.5787775
BDIX,22,BD,Dhaka,www.bdix.net,23.7808875,90.2792376
Equinix Milan,22,IT,Milan,www.equinix.it,45.4628329,9.107692
IX.br (PTT.br) Macei¨®,22,BR,Macei¨®,ix.br,-9.5942081,-35.8267673
ZXIX Shanghai,22,CN,Hangzhou,ix.zxinc.org,30.2616855,119.8916913
HFXIX,21,CA,Halifax,www.aixp.ca,43.7085877,-63.475927
CABASE-NQN,21,AR,Neuqu¨¦n,www.cabase.org.ar,-38.9410802,-68.1854411
PIT-IX,21,US,Pittsburgh,pit-ix.net,40.431478,-80.050541
HOUIX,21,US,Houston,www.houix.net,29.8174782,-95.6814907
Hamro IX,21,NL,Amsterdam,ix.hamro.net,52.3547925,4.7638761
DataLine-IX,20,RU,Moscow,www.dtln.ru,55.5815244,36.8250994
PTT Jo?o Pessoa,20,BR,Jo?o Pessoa,ix.br,-7.1464332,-34.9516386
Equinix Lisbon,20,PT,Lisbon,ix.equinix.com,38.7437396,-9.2302438
Asteroid Mombasa,20,KE,Mombasa,asteroidhq.com,-4.0368736,39.5252945
EdgeIX - Adelaide,20,AU,Adelaide,www.edgeix.net,-34.9983537,138.0506914
MadIX,19,US,Madison,kb.wisc.edu,43.0765959,-89.4146762
NIXVAL,19,ES,Valencia,ixp.nixval.com,39.4079665,-0.5015977
PTT S?o Jos¨¦ dos Campos,19,BR,Sao Jos¨¦ dos Campos,ix.br,-23.1891286,-46.0031003
MKE-IX,19,US,Milwaukee,www.mkeix.net,43.0580569,-88.1075159
CABASE-LPL,19,AR,La Plata,www.cabase.org.ar,-34.9204529,-57.9881899
MGMix,19,US,Montgomery,www.mgmix.net,32.3440116,-86.3861248
Equinix Stockholm,19,SE,Stockholm,www.equinix.se,59.326242,17.8419695
CLOUD-IX SPB,19,RU,St. Petersburg,www.cloud-ix.net,59.9399138,29.5342624
Community-IX.ch,19,CH,Zurich,www.community-ix.ch,47.3775499,8.4666748
ANI-IX Delhi,19,IN,New Delhi,ani-ix.org,28.527582,77.0688974
NIXA,19,AF,Kabul,www.nixa.af,34.5539525,68.9175341
IXP LON,19,GB,London,www.ixp.cat,51.5287352,-0.3817846
MidWest-IX - St. Louis,18,US,St. Louis,www.midwest-ix.com,38.6532851,-90.3835485
AAIX,18,AT,Klagenfurt,,46.6414215,14.2427147
