SFINX,40,FR,Paris,www.sfinx.fr
DE-CIX Istanbul,39,TR,Istanbul,www.de-cix.net
STLIX,39,US,Saint Louis,www.stlix.net
DE-CIX Delhi,39,IN,Delhi,www.de-cix.in
FICIX,38,FI,Helsinki,www.ficix.fi
Hopus,38,FR,Paris,hopus.net
LINX Scotland,38,GB,Scotland,www.linx.net
Any2 Silicon Valley,38,US,San Jose,www.coresite.com
RoNIX,37,RO,Bucharest,anisp.ro
TWIX,37,TW,Taipei,www.twix.net
NIXI Chennai,37,IN,Chennai,nixi.in
Asteroid Amsterdam,37,NL,Amsterdam,www.asteroidhq.com
PyramIX,37,EG,Cairo,www.py-ix.net
Any2 East,37,US,Washington DC,www.coresite.com
NYIIX Los Angeles,36,US,Los Angeles,www.nyiix.net
PTT Lajeado,35,BR,Lajeado,ix.br
SBIX DUS,35,DE,Dusseldorf,www.securebit.ch
TH-IX,35,TH,Bangkok,th-ix.net
MBIX,34,CA,Winnipeg,www.mbix.ca
Equinix Seattle,34,US,Seattle,ix.equinix.com
N-IX,34,DE,Nuernberg,www.n-ix.net
OmahaIX,34,US,Omaha,www.omahaix.com
MegaIX Ashburn,34,US,Ashburn,www.megaport.com
NIXI Delhi,34,IN,Delhi,nixi.in
LIXP Vilnius,34,LT,Vilnius,www.lixp.lt
SIX SI,34,SI,Ljubljana,www.arnes.si
CN-IX Shanghai,34,CN,ShangHai,www.cn-ix.com
EdgeIX - Melbourne,34,AU,Melbourne,www.edgeix.net
Lillix,33,FR,Lille,www.lillix.fr
NDIX,33,NL,Enschede,www.ndix.net
CHIX-CH,33,CH,Frauenfeld,chix.ch
IXPlay Peers,33,ES,Madrid,www.ixplay.es
AMS-IX Bay Area,32,US,San Francisco,bay.ams-ix.net
SOX Serbia,32,RS,Belgrade,www.sox.rs
Od-IX,32,UA,Odessa,od-ix.net
PHOpenIX,32,PH,Manila,www.phopenix.net
OpenSwitch-IX,32,IN,Kolkata,openswitchix.com
Rheintal IX,31,LI,Schaanwald,www.rheintal-ix.net
BatamIX,31,ID,Jakarta,batamix.net
SOX Singapore,30,SG,Singapore,www.sox.net.sg
angonix,30,AO,Luanda,angonix.net
UIXP,30,UG,Kampala,uixp.co.ug
CIX-ATL,30,US,Atlanta,www.communityix.org
AMS-IX Chicago,29,US,Chicago,chi.ams-ix.net
IX Leeds,29,GB,Leeds,ixleeds.net
PTT Cuiab¨¢,29,BR,Cuiab¨¢,ix.br
GIXA,29,GH,Accra,www.gixa.org.gh
MCIX,29,ID,Jakarta,www.napinfo.co.id
LITIX,29,LT,Vilnius,datalogistics.lt
IF-IX,29,UA,Ivano-Frankivsk,ix.if.ua
ZXIX Hong Kong,29,HK,Hong Kong,ix.zxinc.org
MegaIX Los Angeles,28,US,Los Angeles,megaport.com
OhioIX,28,US,Ohio,ohioix.net
PTT S?o Jos¨¦ do Rio Preto,28,BR,S?o Jos¨¦ do Rio Preto,ix.br
AIX-BD,28,BD,Dhaka,www.aamratechnologies.com
RIX,27,IS,Reykjavik,www.rix.is
SAIX,27,AT,Salzburg,www.saix.at
CABASE-MZA,27,AR,Mendoza,www.cabase.org.ar
MegaIX Sofia,27,BG,Sofia,megaport.com
IX.br (PTT.br) Aracaju,27,BR,Aracaju,ix.br
VarnaIX,27,BG,Varna,www.varnaix.net
DE-CIX Palermo,26,IT,Palermo,www.de-cix.net
STHIX Copenhagen,26,DK,Copenhagen,www.sthix.net
IIX-Bali,26,ID,Denpasar,www.iix.net.id
ROPN-IX,26,RO,Bucharest,www.ropnix.com
BGP.Exchange,26,AQ,Global,www.bgp.exchange
SLIX,25,US,Salt Lake City,slix.net
POZIX,25,PL,Poznan,www.pozix.pl
SH-IX,25,AE,Fujairah,www.smarthubix.ae
SNAP,25,US,Atlanta,www.southeastnap.com
RTIX,25,EE,Tallinn,www.ria.ee
Community-IX,25,DE,Berlin,www.community-ix.de
TIX Tanzania,25,TZ,Dar es Salaam,tix.or.tz
EdgeIX - Brisbane,25,AU,Brisbane,www.edgeix.net
STACIX,25,DE,Frankfurt,stacix.net
MegaIX Dallas,24,US,Dallas,megaport.com
S-IX,24,DE,Stuttgart,www.stuttgart-ix.de
FICIX Espoo,24,FI,Espoo,www.ficix.fi
PTT Teresina,24,BR,Teresina,ix.br
ISTIX,24,TR,istanbul,www.istix.com.tr
Frys-IX,24,NL,Frysl?n,www.frys-IX.net
DRF IX,23,US,Honolulu,www.drfortress.com
SUPRnet,23,US,Saint George,suprnet.net
TREX,23,FI,Tampere,www.trex.fi
Equinix Atlanta,23,US,Atlanta,ix.equinix.com
PTT Foz do Igua?u,23,BR,Foz do Igua?u,ix.br
MSK-IX Rostov-on-Don,23,RU,Rostov-on-Don,www.msk-ix.ru
CSL Thai-IX Singapore,23,TH,Bangkok,www.cslthai-ix.net
Equinix Osaka,22,JP,Osaka,ix.equinix.com
TPA-IX,22,US,Tampa,www.tpaix.net
NSPIXP3,22,JP,Osaka,nspixp.wide.ad.jp
PhillyIX,22,US,Philadelphia,phillyix.net
Equinix Manchester,22,GB,Manchester,www.equinix.co.uk
BDIX,22,BD,Dhaka,www.bdix.net
Equinix Milan,22,IT,Milan,www.equinix.it
IX.br (PTT.br) Macei¨®,22,BR,Macei¨®,ix.br
ZXIX Shanghai,22,CN,Hangzhou,ix.zxinc.org
HFXIX,21,CA,Halifax,www.aixp.ca
CABASE-NQN,21,AR,Neuqu¨¦n,www.cabase.org.ar
PIT-IX,21,US,Pittsburgh,pit-ix.net
HOUIX,21,US,Houston,www.houix.net
Hamro IX,21,NL,Amsterdam,ix.hamro.net
DataLine-IX,20,RU,Moscow,www.dtln.ru
PTT Jo?o Pessoa,20,BR,Jo?o Pessoa,ix.br
Equinix Lisbon,20,PT,Lisbon,ix.equinix.com
Asteroid Mombasa,20,KE,Mombasa,asteroidhq.com
EdgeIX - Adelaide,20,AU,Adelaide,www.edgeix.net
MadIX,19,US,Madison,kb.wisc.edu
