source,target,value
AS27064-DoDNetworkInformationCenter-US,AS748-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS1208-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS1590-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS1904-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS1911-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS1959-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS2046-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS3470-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS5052-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS5133-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS5180-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS5182-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS5307-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS5329-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS5374-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS5376-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS5831-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS5842-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS5852-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS5927-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS5939-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS5972-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS5974-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS5979-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS5982-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS5994-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS6026-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS6035-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS6045-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS27046-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS27047-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS27066-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS27069-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS27138-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS27142-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS27153-DoDNetworkInformationCenter-US,-1
AS27065-DoDNetworkInformationCenter-US,AS149-DoDNetworkInformationCenter-US,-1
AS27065-DoDNetworkInformationCenter-US,AS367-DoDNetworkInformationCenter-US,-1
AS27065-DoDNetworkInformationCenter-US,AS656-DoDNetworkInformationCenter-US,-1
AS27065-DoDNetworkInformationCenter-US,AS1553-DoDNetworkInformationCenter-US,-1
AS27065-DoDNetworkInformationCenter-US,AS1733-DoDNetworkInformationCenter-US,-1
AS27065-DoDNetworkInformationCenter-US,AS2629-DoDNetworkInformationCenter-US,-1
AS27065-DoDNetworkInformationCenter-US,AS3541-DoDNetworkInformationCenter-US,-1
AS27065-DoDNetworkInformationCenter-US,AS5180-DoDNetworkInformationCenter-US,-1
AS27065-DoDNetworkInformationCenter-US,AS5231-DoDNetworkInformationCenter-US,-1
AS27065-DoDNetworkInformationCenter-US,AS5839-DoDNetworkInformationCenter-US,-1
AS27065-DoDNetworkInformationCenter-US,AS5927-DoDNetworkInformationCenter-US,-1
