0, !, 185.1.68.3, AS60917, , DE-CIX Madrid, ES, Madrid
116, !, 195.66.244.37, AS57356, IXManchester, IXManchester powered by LINX, GB//Kingdom United, Manchester
117, !, 195.191.170.239, AS42401, EPIX.Katowice, Stowarzyszenie na Rzecz Rozwoju Spoleczenstwa Informacyjnego e-Poludnie, PL, Katowice Silesia
118, !, 193.110.13.134, AS50304, SOLIX, SOLIX, SE, Stockholm
119, !, 192.203.154.185, AS38437, APE, Auckland Peering Exchange, NZ//Zealand New, Auckland
120, !, 200.110.120.12, AS27740, NAP.EC - GYE, NAP / IXP / IX / PIT del Ecuador - Guayaquil, EC, Guayaquil GYE
121, !, 103.26.68.165, AS3856, MegaIX Sydney, Megaport MegaIX Sydney, AU, Sydney
122, !, 206.223.119.177, AS6407, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
123, !, 80.81.194.176, AS61438, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
124, !, 178.18.224.56, AS39087, DATAIX, Peering LTD, RU, RU St Petersburg Moscow Omsk Ekaterinburg Khabarovsk Novosibirs
125, !, 198.32.195.59, AS40700, NWAX, Northwest Access Exchange, US, Portland
126, !, 187.16.203.252, AS20121, IX.br Cuiaba, IX.br Cuiabá, BR, Cuiaba MT
127, !, 203.190.230.79, AS30419, Equinix Tokyo, Equinix Tokyo, JP, Tokyo
128, !, 187.16.223.82, AS25605, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
129, !, 194.68.128.152, AS16086, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
130, ?, 198.32.118.202, AS15133, Equinix-NY, Equinix-NY, Equinix New York, Equinix Internet Exchange New York, US, York New
131, !, 218.100.44.191, AS45410, MyIX, Malaysia Internet Exchange, MY, Lumpur Kuala
132, !, 193.25.180.78, AS28761, DTEL-IX, Digital Telecom Internet Exchange, UA, Kiev
133, !, 80.81.192.219, AS33843, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
134, !, 193.201.29.11, AS1267, NaMeX, Nautilus Mediterranean Exchange Point, IT, Rome
135, !, 195.35.65.73, AS21488, UA-IX, Ukrainian Internet Exchange, UA, Kiev
136, !, 80.249.211.153, AS50245, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
137, !, 80.249.212.206, AS28890, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
138, !, 80.249.209.65, AS39309, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
139, !, 194.88.240.22, AS31122, INEX, Internet Neutral Exchange Association Limited, IE, Dublin
140, !, 206.72.210.60, AS4773, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
141, !, 80.249.209.114, AS16097, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
142, !, 193.203.0.190, AS31042, VIX, Vienna Internet Exchange, AT, Vienna
143, !, 198.32.160.41, AS6667, NYIIX, New York International Internet Exchange, US, York New
144, !, 43.243.21.47, AS63920, AKL-IX, Auckland Internet Exchange, NZ, Auckland
145, !, 5.57.81.101, AS8966, LoNAP, London Network Access Point, GB//Kingdom United, London
146, !, 80.249.212.107, AS20559, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
147, !, 195.42.144.188, AS12362, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
148, !, 103.26.70.30, AS55707, MegaIX Brisbane, Megaport MegaIX Brisbane, AU, Brisbane
149, !, 193.178.185.70, AS39373, BCIX, Berlin Commercial Internet Exchange, DE, Berlin
150, !, 185.1.8.14, AS42, UAE-IX, UAE-IX powered by DE-CIX, AE, Dubai
151, !, 195.42.144.122, AS35717, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
152, !, 198.179.18.55, AS13335, QIX, Quebec Internet Exchange, CA, Montreal
153, !, 62.69.146.33, AS28876, , European Commercial Internet Exchange, DE, Frankfurt
154, !, 195.208.209.4, AS41095, MSK-IX Moscow, MSK-IX Moscow, RU, Moscow
155, !, 206.108.34.34, AS10996, TORIX, Toronto Internet Exchange, CA, Toronto
156, !, 5.57.80.200, AS42973, LoNAP, London Network Access Point, GB//Kingdom United, London
157, !, 37.49.236.67, AS37100, France-IX, France-IX, FR, Paris
158, !, 206.223.116.241, AS393565, Equinix IBX San Jose, Equinix IBX San Jose, US, San Jose
159, !, 210.62.255.45, AS17709, TWIX, Taiwan Internet Exchange, TW, Taipei
160, !, 103.216.40.20, AS45102, CNIX, CNIX China Internet Exchange, CN, Beijing
161, !, 103.26.68.67, AS24557, MegaIX Sydney, Megaport MegaIX Sydney, AU, Sydney
162, !, 123.255.90.49, AS4800, HKIX, Hong Kong Internet Exchange, HK, Hong Kong
163, !, 206.51.46.69, AS6939, Coresite - Any 2, CoreSite - Any2 Denver / Formerly RMIX, US, Denver
164, !, 43.243.21.48, AS4049, AKL-IX, Auckland Internet Exchange, NZ, Auckland
165, !, 80.249.211.134, AS25061, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
166, !, 80.81.203.17, AS42965, DE-CIX Hamburg, DE-CIX Hamburg, DE, Hamburg
167, !, 80.249.208.185, AS44020, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
168, !, 193.110.13.239, AS21250, SOLIX, SOLIX, SE, Stockholm
169, !, 217.29.66.170, AS51580, MIX, Milan Internet eXchange, IT, Milan
170, !, 123.255.91.132, AS4651, HKIX, Hong Kong Internet Exchange, HK, Hong Kong
171, !, 206.223.119.48, AS3491, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
172, !, 195.66.224.237, AS200612, LINX, London Internet Exchange, GB//Kingdom United, London
173, !, 198.32.160.140, AS33353, NYIIX, New York International Internet Exchange, US, York New
174, !, 187.16.222.142, AS263982, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
175, !, 206.41.108.4, AS63221, FL-IX, FL-IX - The South Florida Internet Exchange, US, Miami
176, !, 206.53.172.9, AS24516, MegaIX Los Angeles, Megaport MegaIX Los Angeles, US, Angeles Los
177, !, 198.32.231.139, AS133937, NPIX, Nepal Internet Exchange, NP, Kathmandu
178, !, 80.94.94.24, AS2635, GE-CIX, Global Internet Exchange & Peering Network, CH, Zurich
179, !, 80.81.194.121, AS2119, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
180, !, 194.42.48.11, AS559, Equinix Zurich, Equinix Zurich formerly TIX, CH, Zurich
181, !, 206.108.115.21, AS42, AMS-IX Chicago, AMS-IX Chicago, US, Chicago
182, ?, 187.16.218.94, AS28368, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
183, ?, 194.85.177.12, AS48176, MSK-IX St. Petersburg, MSK-IX St. Petersburg, MSK-IX Stavropol, MSK-IX Stavropol, RU, Stavropol
184, !, 194.68.128.212, AS20485, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
185, ?, 206.126.115.29, AS19750, TIE New York, TelX Internet Exchange, Digital Realty | Telx New York, Digital Realty New York Internet Exchange, US, Jersey York New
186, !, 194.68.123.77, AS41095, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
187, !, 80.81.194.116, AS51531, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
188, !, 193.232.140.47, AS12714, MSK-IX Rostov-on-Don, MSK-IX Rostov-on-Don, RU, on Rostov Don
189, !, 192.65.185.193, AS13030, CIXP, CERN Internet Exchange Point, CH, Geneva
190, !, 187.16.222.95, AS52989, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
191, !, 206.41.109.18, AS112, TahoeIX, Tahoe Internet Exchange, US, Northern Nevada//Reno
