AS11351,"Charter Communications Inc,TWC-11351-NORTHEAST",US,91
AS2711,"Spirit Communications,SPIRITTEL-AS",US,90
AS19754,"""The Fusion Network,FNL-33-19754",US,90
AS11096,"FloridaNet,FLORIDANET",US,88
AS19009,"OneCleveland,ONECLEVELAND",US,88
AS33182,"""HostDime.com,DIMENOC",US,88
AS27281,"Quantcast Corporation,QUANTCAST",US,87
AS62597,"NSONE Inc,NSONE",US,87
AS11426,"Charter Communications Inc,TWC-11426-CAROLINAS",US,87
AS11019,"""HAProxy Technologies,HAPROXY-TECHNOLOGIES",US,85
AS41378,"Kirino LLC,KirinoNET",US,84
AS33659,"""Comcast Cable Communications,CMCS",US,84
AS13767,"""DataBank Holdings,DATABANK-DFW",US,83
AS13789,"Internap Holding LLC,INTERNAP-BLK3",US,83
AS25899,"LS Networks,LSNET",US,83
AS32035,"Telekenex Inc,CCDT-AS",US,83
AS398447,"""OHANACRAFT,OHANACRAFT",US,83
AS6423,"Digital Fortress,DF-BVR01",US,82
AS14127,"Iland Internet Solutions Corporation,ILAND",US,82
AS62887,"""WhiteSky Communications,WHITESKY-COMMUNICATIONS",US,82
AS62856,"""Docusign,DOCUS-6-PROD",US,82
AS7843,"Charter Communications Inc,TWC-7843-BB",US,80
AS33363,"""Charter Communications,BHN-33363",US,80
AS40805,"""JMF Solutions,JMF-WAVEFLY",US,79
AS12085,"""Equinix,EQUINIX-EC-DC",US,79
AS13367,"""Comcast Cable Communications,COMCAST-13367",US,78
AS26464,"""Joyent,JOYENT-INC-US",US,77
AS20326,"TeraSwitch Networks Inc.,TERASWITCH",US,76
AS63293,"""Facebook,FACEBOOK-OFFNET",US,76
AS4004,"Sprint International,GLOBAL-SPLK",US,76
AS20144,"ICANN,IMRS",US,76
AS33652,"""Comcast Cable Communications,CMCS",US,76
AS6621,"Hughes Network Systems,HNS-DIRECPC",US,75
AS12025,"Iron Mountain Data Center,IMDC-AS12025",US,74
AS8100,"QuadraNet Enterprises LLC,ASN-QUADRANET-GLOBAL",US,73
AS11280,"SNAPPYDSL.NET,SNAPPYDSL-ASN1",US,73
AS63023,"GTHost,AS-GLOBALTELEHOST",US,73
AS47065,"USC / UFMG PEERING Research Testbed,PEERING-RESEARCH-TESTBED-USC-UFMG-AS47065",US,72
AS23352,"Server Central Network,SERVERCENTRAL",US,72
AS55219,"""Cisco Systems,SOURCEFIRE-LABS",US,72
AS27064,"DoD Network Information Center,DNIC-ASBLK-27032-27159",US,72
AS11383,"""TierPoint,AS-TIERP-11383",US,72
AS33660,"""Comcast Cable Communications,CMCS",US,71
AS33650,"""Comcast Cable Communications,COMCAST-33650",US,71
AS62943,"Bluebird Network,AS62943-BLUEBIRD-NETWORK",US,70
AS8038,"""6connect,6CONNECT",US,70
AS43256,"Global Broadband Solution Inc,KIN-AS",US,70
AS27552,"""TowardEX Technologies International,TWDX",US,70
AS2044,"Digital Fortress,DF-PTL01",US,69
AS22616,"""ZSCALER,ZSCALER-SJC1",US,69
AS10282,"GLOBAL ONE,DIALIP-PR",US,69
AS12083,"WideOpenWest Finance LLC,WOW-INTERNET",US,68
AS13876,"""FiberLight,FIBER-64",US,68
AS29933,"Off Campus Telecommunications,OFF-CAMPUS-TELECOMMUNICATIONS",US,68
AS6181,"Cincinnati Bell Telephone Company LLC,FUSE-NET",US,67
AS11232,"Midcontinent Communications,MIDCO-NET",US,66
AS15305,"""Syringa Networks,SYRINGANETWORKS",US,66
AS22645,"LEARN,LEARN-COMMODITY",US,66
AS46844,"Sharktech,ST-BGP",US,66
AS23470,"ReliableSite.Net LLC,RELIABLESITE",US,66
AS53667,"FranTech Solutions,PONYNET",US,65
AS7725,"""Comcast Cable Communications,COMCAST-7725",US,65
AS53340,"""VegasNAP,FIBERHUB",US,64
AS394625,"WhiteLabel IT Solutions Corp,WHITELABELIT",US,64
AS398493,"System In Place,SYSTEMINPLACE",US,63
AS3754,"NYSERNet,NYSERNET3-AS",US,63
AS14877,"KINBER,PENNREN",US,63
AS21928,"""T-Mobile USA,T-MOBILE-AS21928",US,63
AS13830,"Nexril,NEXRIL",US,62
AS207063,"""Kentik Technologies,kentik-eu",US,62
AS40065,"CNSERVERS LLC,CNSERVERS",US,62
AS917,"""Misaka Network,MISAKA",US,62
AS8001,"""Cologix,COLOGIX",US,61
AS17088,"""Currenex,CURRENEX",US,61
AS10753,"""Level 3 Parent,LUMEN-LEGACY-L3-CUSTOMER-SHARED-USE",US,61
AS600,"OARnet,OARNET-AS",US,61
AS17054,"""CONTINENTAL BROADBAND PENNSYLVANIA,AS17054",US,61
AS11492,"""CABLE ONE,CABLEONE",US,61
AS31800,"DALnet,DALNET",US,61
AS399728,"P Foundation,P-FOUNDATION",US,61
AS26801,"""Zito Media,ZITOMEDIA611",US,60
AS19905,"""NeuStar,ULTRADDOS",US,60
AS3737,"PenTeleData Inc.,AS-PTD",US,60
AS30419,"MediaMath Inc,MEDIAMATH-INC",US,60
AS32425,"Pixel Factory,SKB3-ARIN-BGP",US,60
AS5056,"Aureon Network Services,AUREON-5056",US,59
AS22911,"""SINAP-TIX,SINAP-TIX",US,59
AS41041,"Conversant LLC,VCLK-EU-SE",US,59
AS44965,"8x8 Inc,CONTACTUAL",US,59
AS45250,"Vocom International Telecommunication Inc.,VOCOM-AP-AS",US,59
AS62642,"""Bigleaf Networks,BIGLEAF",US,59
AS3630,"NYSERNet,NYSERNET-BLK",US,59
AS30600,"Metronet,AS-CMN",US,57
AS62663,"Telecall,TELECALL",US,57
AS33490,"""Comcast Cable Communications,COMCAST-33490",US,57
AS18676,"Avaya Inc.,AVAYA",US,56
AS32133,"Ting Fiber Inc.,AS-TING-BACKBONE",US,56
AS62904,"Eonix Corporation,AS62904",US,56
AS30517,"""Great Lakes Comnet,GREAT-LAKES-COMNET",US,56
AS101,"University of Washington,WASH-NSF-AS",US,55
AS26744,"""Planters Communications,PCL",US,55
AS13977,"""FAIRPOINT COMMUNICATIONS,CTELCO",US,54
AS23033,"Wowrack.com,WOW",US,54
AS7459,"""Grande Communications Networks,GRANDECOM-AS1",US,54
AS22925,"""Allied Telecom Group,ALLIED-TELECOM",US,54
AS33662,"""Comcast Cable Communications,CMCS",US,54
AS6325,"Illinois Century Network,ILLINOIS-CENTURY",US,53
AS13807,"Great Plains Communications LLC,GREAT-PLAINS-COMMUNICATIONS",US,53
AS306,"DoD Network Information Center,DNIC-ASBLK-00306-00371",US,53
AS4213,"Krypt Technologies,VPLS-GLOBAL",US,52
AS11179,"""Aryaka Networks,ARYAKA-ARIN",US,52
AS26827,"EPB Fiber Optics,EPBTELECOM",US,52
AS53991,"Acronis,ACRONIS-53991",US,52
AS23314,"Summit Broadband,ORLANDOTELCO",US,52
AS7782,"""Alaska Communications Systems Group,ALSK-7782",US,52
AS36182,"Accretive Networks,ATG-36182",US,52
AS53813,"""ZSCALER,ZSCALER-INC",US,52
AS11272,"C Spire Fiber,TELEPAK-NETWORKS-INC",US,51
AS14244,"NSI Hosting,AS-NSI-GLOBAL",US,51
AS3573,"Accenture LLP,ACCENTURE",US,51
AS6421,"TATA COMMUNICATIONS (AMERICA) INC,AS6421",US,51
AS21508,"""Comcast Cable Communications,COMCAST-21508",US,51
AS14315,"""1GSERVERS,1GSERVERS",US,50
AS4258,"Accretive Networks,ATG-4258",US,50
AS8047,"""GENERAL COMMUNICATION,GCI",US,50
AS12271,"Charter Communications Inc,TWC-12271-NYC",US,50
AS2734,"CoreSite,CORESITE",US,49
AS16713,"Northwest Open Access Network,NOANET-WA",US,49
AS35908,"Krypt Technologies,VPLSNET",US,49
AS399077,"Tcloudnet,TERAEXCH",US,49
AS46455,"""WWLTH,NLI-ISP",US,49
AS7155,"""ViaSat,VIASAT-SP-BACKBONE",US,49
AS26496,"""GoDaddy.com,AS-26496-GO-DADDY-COM-LLC",US,49
AS12042,"""Consolidated Communications,ENVENTIS",US,48
AS10242,"US Internet Corp,USINTERNET",US,48
AS20253,"Qwilt Inc.,QWILTED-PROD-01",US,48
AS23089,"Hotwire Communications,HOTWIRE-COMMUNICATIONS",US,48
AS53264,"""SBA Edge,SBAEDGE-603",US,48
AS395354,"""Starry,ASN-STARRY",US,48
AS226,"Los Nettos,LOS-NETTOS-AS",US,48
AS19024,"Internap Holding LLC,INTERNAP-BLK5",US,47
AS35916,"MULTACOM CORPORATION,MULTA-ASN1",US,47
AS36062,"""DoubleVerify,DOUBLE-VERIFY",US,47
AS36459,"""GitHub,GITHUB",US,47
AS11071,"InfoWest,IW-ASN-11071",US,46
AS12182,"Internap Holding LLC,INTERNAP-2BLK",US,46
AS14265,"TPx Communications,US-TELEPACIFIC",US,46
AS18978,"Enzu Inc,ENZUINC-US",US,46
AS19229,"Ensono LP,IFOXNETODPD-ENSONO-DCCS",US,46
AS22742,"Connecticut Education Network,CT-EDU-NET",US,46
AS27257,"Webair Internet Development Company Inc.,WEBAIR-INTERNET",US,46
AS33154,"DQE Communications LLC,DQECOM",US,46
AS36149,"""Hawaiian Telcom Services Company,HAWAIIAN-TELCOM",US,46
AS53597,"Hoyos Consulting LLC,HOYOS-CONSULTING-LLC",US,46
AS393950,"FiberIndy,XIBER-LLC",US,46
AS237,"Merit Network Inc.,MERIT-AS-14",US,46
AS4862,"Equant Inc,EQUANT-ASIA",US,46
AS13576,"SOUTH DAKOTA NETWORK,SDNW-13576",US,45
AS18450,"""WebNX,WEBNX",US,45
AS32505,"Conterra,DWL-MAIN",US,45
AS3580,"Planet Access Networks,PLANET",US,45
AS8002,"Stealth Communications,STEALTH",US,44
AS18747,"IFX Corporation,IFX18747",US,44
AS26459,"""The Trade Desk,TTD-ASN-01",US,44
AS6853,"ORANGE BUSINESS SERVICES U.S. Inc.,ORANGE-BUSINESS-SERVICES-SOUTHEUR",US,44
AS25956,"""Alpheus Data Services,ALPHEUS",US,44
AS6315,"""XMission,XMISSION",US,43
AS10913,"Internap Holding LLC,INTERNAP-BLK",US,43
AS20464,"""Polycom,POLYCOM",US,43
AS21947,"""Blackfoot Telephone Cooperative,BCI",US,43
AS1766,"Exxon Mobil Corporation,ASN-EXXONMOBIL-US",US,43
AS2153,"""California State University,CSUNET-NE",US,42
AS32354,"Unwired,UNWIRED",US,42
AS55081,"24 SHELLS,24SHELLS",US,42
AS6404,"""FactSet Research Systems,FACTSET",US,42
AS32703,"Intelligent Fiber Network,IFN-NET",US,42
AS6128,"Cablevision Systems Corp.,CABLE-NET-1",US,41
AS32217,"GPIEX INC,GPIEX",US,41
AS11403,"NYI,NYINTERNET",US,41
AS30036,"Mediacom Communications Corp,MEDIACOM-ENTERPRISE-BUSINESS",US,41
AS23404,"Ritter Communications,RITTERNET",US,41
AS81,"MCNC,NCREN",US,40
AS11758,"IRIS Networks,IRISNETWORKS",US,40
AS12222,"""Akamai Technologies,AKAMAI",US,40
AS14928,"""Adams CATV,ADAMS-CATV",US,40
AS16406,"""Intermedia.net,AS-INTERMEDIA",US,40
AS19969,"""Joe's Datacenter,JOESDATACENTER",US,40
AS394065,"essensys Inc.,ESSENSYSINC",US,40
AS7772,"""Schneider Automation,ST-LOUIS-SCHNEIDER-DC",US,40
AS3112,"OARnet,OARNET-AS-1",US,40
AS10490,"Georgia Institute of Technology,SOUTHERN-CROSSROADS-SOX",US,39
AS11722,"""Westelcom Internet,WFC-ASN",US,39
AS20141,"""Quality Technology Services,QTS-SUW1-ATL1",US,39
AS32244,"""Liquid Web,LIQUIDWEB",US,39
AS19930,"""Equinix,EQUINIX-EC-CH",US,39
AS10912,"Internap Holding LLC,INTERNAP-BLK",US,38
AS22302,"""INOC,INOC",US,38
AS13684,"""Medtronic,ASN-MEDTRONIC-1",US,38
AS14041,"University Corporation for Atmospheric Research,AS14041",US,38
AS12008,"""NeuStar,ULTRADNS",US,38
AS4557,"Rice University,SOUTHEAST-TEXAS-GIGAPOP",US,38
AS4922,"Shenandoah Cable Television LLC,SHENTEL",US,38
AS6922,"Texas Department of Information Resources,TEXASAGENCYNET",US,38
AS19812,"""RADIANZ Americas,RADIANZ-NUTLEY",US,38
AS13329,"""Kansas Fiber Network,KFN-001",US,37
AS22097,"""K&L Gates,KLGATES",US,37
AS33570,"Cloudpath,CLOUDPATH",US,37
AS394437,"PS Lightwave,PSLIGHTWAVE",US,37
AS14609,"""Equinix,EQUINIX-CORP-NETWORK",US,37
AS54119,"""WhiteSky Communications,WHITESKY-COMMUNICATIONS-2",US,37
AS64200,"VIVID-HOSTING LLC,VIVIDHOSTING",US,37
AS14361,"HopOne Internet Corporation,HOPONE-GLOBAL",US,37
AS16789,"""YARDI SYSTEMS,YARDI",US,37
AS23154,"Sanmina-SCI Corporation,SANMINA-SCI",US,37
AS12989,"StackPath LLC,HWNG",US,37
AS25717,"Essity Hygiene and Health,SCAAM0001",US,37
AS64213,"ERC Broadband,AS-ERCELITE",US,37
AS35985,"""One Ring Networks,ONERINGNET-ATL-1",US,37
AS19855,"""Masergy Communications,MASERGY",US,36
AS32181,"GigeNET,ASN-GIGENET",US,36
AS46261,"""QuickPacket,QUICKPACKET",US,36
AS53610,"""Metro Communications Company,METRO-COMMUNICATIONS-COMPANY-INC",US,36
AS397849,"ZOHO,ZOHO-STREAMING-CONTENT-NETWORK",US,36
AS11228,"""ARINC,ARINC",US,36
AS29884,"""Equinix,EQUINIX-EC-DA",US,36
AS5078,"Oklahoma Network for Education Enrichment and,ONENET-AS-1",US,35
AS8796,"FASTNET DATA INC,FD-298-8796",US,35
AS14230,"Involta,INVOLTA",US,35
AS31877,"""GEORGIA PUBLIC WEB,GPW",US,35
AS27647,"""Weebly,WEEBLY",US,35
AS2688,"""AT&T Global Network Services,ATGS-MMD-AS",US,35
AS6614,"""UNITED STATES CELLULAR TELEPHONE COMPANY (GREATER KNOXVILLE),USCC-ASN",US,35
AS22909,"""Comcast Cable Communications,COMCAST-22909",US,35
AS367,"DoD Network Information Center,DNIC-ASBLK-00306-00371",US,34
AS4927,"Impulse Internet Services,IMPU",US,34
AS7862,"Chevron Corporation,CHEVRON",US,34
AS14745,"Internap Holding LLC,INTERNAP-BLOCK-4",US,34
AS18888,"""ZILLOW,AS-ZILLOW",US,34
AS19318,"""Interserver,IS-AS-1",US,34
AS22300,"""Wikia,WIKIA",US,34
AS668,"DoD Network Information Center,DNIC-AS-00668",US,34
AS20021,"HostMySite,LNH-INC",US,34
AS22792,"MOUNTAINET,MNET",US,34
AS23316,"""Bel Air Internet,BAI-IP-SERVICES",US,34
AS62610,"Zenlayer Inc,ZEN-DPS",US,34
AS53587,"""AZURE TECHNOLOGY CO.,AZT",US,34
AS10835,"""Visionary Communications,VISIONARY",US,33
AS12179,"Internap Holding LLC,INTERNAP-2BLK",US,33
AS22071,"TradingScreen INC,TRADINGSCREEN-INC",US,33
AS25645,"""Momentum Telecom,MOMENTUM-ACCESS",US,33
AS30058,"FDCservers.net,FDCSERVERS",US,33
AS11114,"Wintek Corporation,WINTEK-CORP",US,33
AS27066,"DoD Network Information Center,DNIC-ASBLK-27032-27159",US,33
AS15211,"""Square,SQUARE",US,33
AS30041,"""Race Tech,RACE",US,33
AS3361,"""Digital Fortress,DF-TUKWILA01",US,33
AS26548,"PureVoltage Hosting Inc.,PUREVOLTAGE-INC",US,33
AS7381,"SunGard Availability Services LP,SRS-6-Z-7381",US,33
AS16553,"""Equinix,EQUINIX-EC-MI",US,33
AS20205,"""Amplex Electric,AMPLEX",US,32
AS57,"University of Minnesota,NL-GIGAPOP",US,32
AS6130,"""American Internet Services,AIS-WEST",US,32
AS13739,"""Datacenter IP,DATACENTER-IP",US,32
AS14744,"Internap Holding LLC,INTERNAP-BLOCK-4",US,32
AS32440,"Louisiana Board of Regents/Louisiana Optical Network Initiative (LONI),LONI",US,32
AS40511,"""Fireline Network Solutions,FIRELINE",US,32
AS40545,"Empire Access,EMPIRE-40545",US,32
AS40948,"Stratus Networks,STRATUS-NETWORKS",US,32
AS64208,"Virtustream Inc.,VIRTUSTREAM-VGN-US",US,32
AS4983,"Intel Corporation,INTEL-SC-AS",US,32
AS36224,"HCL AMERICA INC,HCLTA94085",US,32
AS10674,"Gainesville Regional Utilities,GRUCOM",US,32
AS25751,"""Conversant,VALUECLICK",US,32
AS20454,"SECURED SERVERS LLC,SSASN2",US,32
AS10886,"University of Maryland,MAX-GIGAPOP",US,31
AS4136,"""Quality Technology Services,QTS",US,31
AS14051,"""Consolidated Communications,SUREWEST",US,31
AS14717,"EZE Castle Integration Inc.,ECINET",US,31
AS25697,"UpCloud USA Inc,UPCLOUDUSA",US,31
AS31950,"Data Network Solutions,AS-DANS",US,31
AS33724,"VOLICO,BIZNESSHOSTING-DBA-VOLICO",US,31
AS36012,"HUNTER COMMUNICATIONS,HUNTER-COMM",US,31
AS40220,"Virginia Polytechnic Institute and State Univ.,MARIA",US,31
AS18530,"""Isomedia,ISOMEDIA-1",US,31
AS21534,"""BroadSoft,AS21534",US,31
AS17130,"Jones Day,JONESDAY",US,31
AS33445,"Yelp! Inc.,YELP",US,31
AS906,"DMIT Cloud Services,DMIT",US,30
AS3900,"""SWITCH,TEXASNET-ASN",US,30
AS10466,"MAGPI c/o University of Pennsylvania,MAGPI",US,30
AS10578,"Harvard University,GIGAPOP-NE",US,30
AS40107,"""Quality Technology Services,QTS-DFW",US,30
AS55039,"""Fatbeam,FATBEAM-AS",US,30
AS27202,"""City of Bardstown,CBK-AS",US,30
AS23550,"PREPA Networks,PREPA-NETWORKS-LLC",US,30
AS54588,"""Equinix,EQUINIX-EC-SV",US,30
AS22335,"Metropolitan Research and Education Network,MREN",US,29
AS2544,"King County Gov,METRO-AS",US,29
