AS131477,"""Shanghai Huajuan Information Technology Co.,SHHJ-AS",CN,2,0,2
AS132819,"Aldford Network Solutions Limited,ANSL-AS-AP",VG,2,0,2
AS134684,"NetConn Services Ltd,NSL-AS-AP",SC,2,2,0
AS135140,"""Qun Ying Network Technology (Hong Kong) Co.,QYNTKCL-AS-AP",HK,2,0,2
AS267613,"ELETRONET S.A.,",BR,2,4,-2
AS11179,"""Aryaka Networks,ARYAKA-ARIN",US,2,0,2
AS47582,"ANSON NETWORK LIMITED,ansonnet-as-uk",GB,2,2,0
AS59360,"BBIX HONG KONG PTE. LIMITED,BBIXHK-HK",HK,2,1,1
AS40676,"Psychz Networks,AS40676",US,2,3,-1
AS135314,"IMCLOUD TECHNOLOGY COMPANY LIMITED,IMCLOUD-AS-AP",HK,2,0,2
AS206819,"ANSON NETWORK LIMITED,anl-uk",GB,2,0,2
AS11537,"Internet2,INTERNET2-RESEARCH-EDU",US,2,2,0
AS7540,"IXTech Limited,HKCIX-AS-AP",HK,2,1,1
AS138698,"""Colleagues Technology CO. ,TLTC-AS",HK,2,0,2
AS41378,"Kirino LLC,KirinoNET",US,2,4,-2
AS133953,"Mega Target Communication Limited,MTCL-AS-AP",HK,2,0,2
AS59243,"""Akatek Solutions,ASI-PH",PH,2,0,2
AS46997,"Black Mesa Corporation,NATOLAB",US,2,0,2
AS57724,"DDOS-GUARD LTD,DDOS-GUARD",RU,2,0,2
AS132585,"PCCW IMS Ltd (PCCW Business Internet Access),SIA-HK-AS",HK,2,6,-4
AS198949,"DC PROTECTION LTD,VS-AS",IL,2,2,0
AS513,"CERN - European Organization for Nuclear Research,CERN",CH,1,0,1
AS553,"Universitaet Stuttgart,BELWUE",DE,1,3,-2
AS701,"Verizon Business,UUNET",US,1,4,-3
AS703,"Verizon Business,UUNET",US,1,1,0
AS1103,"SURF B.V.,SURFNET-NL",NL,1,2,-1
AS1140,"Stichting Internet Domeinregistratie Nederland,SIDN",NL,1,0,1
AS1764,"Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,NEXTLAYER-AS",AT,1,4,-3
AS1836,"green.ch AG,GREEN",CH,1,4,-3
AS2119,"Telenor Norge AS,TELENOR-NEXTEL",NO,1,3,-2
AS2153,"""California State University,CSUNET-NE",US,1,0,1
AS2381,"WiscNet,WISCNET1-AS",US,1,1,0
AS2856,"British Telecommunications PLC,BT-UK-AS",GB,1,0,1
AS3170,"Etheroute Ltd,VELOXSERV",GB,1,1,0
AS3214,"xTom GmbH,XTOM",DE,1,5,-4
AS3333,"Reseaux IP Europeens Network Coordination Centre (RIPE NCC),RIPE-NCC-AS",NL,1,0,1
AS3741,"Dimension Data,IS",ZA,1,4,-3
AS4455,"IX Reach Ltd,BSO",GB,1,4,-3
AS4766,"Korea Telecom,KIXS-AS-KR",KR,1,8,-7
AS6233,"xTom,XTOM",US,1,3,-2
AS6777,"Amsterdam Internet Exchange B.V.,AMS-IX-RS",NL,1,0,1
AS7489,"HostUS Solutions LLC,HOSTUS-GLOBAL-AS",US,1,3,-2
AS8283,"Netwerkvereniging Coloclue,COLOCLUE-AS",NL,1,0,1
AS8298,"Pim van Pelt,IPNG",CH,1,2,-1
AS8309,"SIPARTECH SAS,SIPARTECH",FR,1,0,1
