2714,1,0,1
2715,1,0,1
2744,1,0,1
2752,2,0,2
2764,12,0,12
2766,3,0,3
2767,1,0,1
2792,1,0,1
2819,1,0,1
2820,2,1,1
2822,1,0,1
2828,15,9,6
2831,1,0,1
2832,3,0,3
2833,1,0,1
2834,1,0,1
2836,2,0,2
2837,1,0,1
2840,2,0,2
2841,1,0,1
2843,2,0,2
2845,1,0,1
2847,1,0,1
2848,4,1,3
2852,1,0,1
2853,4,2,2
2854,13,0,13
2856,22,3,19
2860,3,0,3
2861,1,0,1
2865,1,0,1
2871,5,0,5
2874,7,1,6
2875,1,0,1
2876,1,0,1
2895,5,0,5
2899,3,0,3
2900,5,1,4
2901,2,0,2
2902,1,0,1
2905,12,9,3
2907,14,1,13
2911,2,0,2
2914,117,88,29
2915,14,1,13
2917,7,3,4
2918,3,0,3
2933,6,0,6
2941,2,0,2
2966,2,0,2
3053,1,0,1
3056,1,0,1
3058,2,0,2
3064,2,0,2
3066,3,1,2
3079,1,0,1
3080,1,0,1
3081,1,0,1
3104,2,0,2
3110,2,0,2
3111,1,0,1
3112,1,0,1
3113,1,0,1
3128,4,0,4
3130,1,0,1
3132,2,0,2
3134,1,0,1
3136,1,0,1
3142,1,0,1
3144,1,0,1
3146,1,0,1
3148,2,0,2
3149,3,1,2
3150,2,0,2
3152,2,0,2
3208,1,1,0
3215,19,1,18
3216,6,0,6
3218,1,0,1
3219,1,0,1
3220,3,1,2
3221,1,0,1
3225,1,0,1
3227,1,0,1
3228,3,0,3
3230,2,1,1
3233,1,0,1
3235,1,0,1
3238,1,0,1
3239,1,1,0
3240,1,0,1
3242,2,0,2
3243,5,0,5
3244,2,0,2
3245,2,1,1
3246,4,2,2
3248,3,0,3
3249,2,0,2
3251,1,0,1
3252,7,0,7
3253,1,1,0
3254,8,1,7
3255,4,1,3
3256,7,3,4
3257,35,9,26
3258,2,0,2
3259,4,1,3
3260,1,0,1
3261,3,0,3
3262,3,0,3
3264,1,0,1
3265,3,1,2
3267,1,1,0
3268,2,0,2
3269,5,0,5
3273,2,0,2
3277,2,0,2
3278,1,0,1
3286,6,2,4
3291,4,0,4
3292,3,0,3
3300,27,15,12
3301,6,0,6
3302,14,1,13
3303,18,1,17
3304,7,2,5
3305,8,1,7
3306,4,3,1
