6667|1|0|0|1|EUNET-FINLAND|Elisa Oyj|EU|0.0|0.0
6668|2|0|1|1
6669|2|0|1|1
6676|1|0|0|1
6678|2|0|0|2
6680|9|2|5|2
6683|5|5|0|0
6684|8|1|6|1
6685|9|0|8|1|BTRADIANZFRANKFURT|British Telecommunications PLC|GB|0.0|0.0
6686|5|0|4|1|ATT-GCH-VOI-SF-AS|AT&T Global Network Services Nederland B.V.|EU|0.0|0.0
6688|2|0|1|1|ATT-GCH-VOI-LA-AS|AT&T Global Network Services Nederland B.V.|EU|0.0|0.0
6690|2|1|0|1
6705|2|0|0|2
6708|2|0|0|2
6713|2|0|0|2|IAM-AS|Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM|MA|0.0|0.0
6715|2|0|0|2
6717|1|0|0|1|AS6717|Internet Central Limited|GB|0.0|0.0
6721|1|0|0|1
6722|1|0|0|1
6728|5|0|3|2|NILDRAM|TalkTalk Communications Limited|GB|0.0|0.0
6741|1|0|0|1
6742|5|2|0|3|ATT-CH-0E|AT&T Global Network Services Nederland B.V.|EU|0.0|0.0
6743|1|0|0|1
6745|5|1|1|3|QUZA-UK|Centurylink Communications UK Limited|GB|0.0|0.0
6746|1|0|0|1
6752|3|0|0|3|ANDORRA|ANDORRA TELECOM SAU|AD|0.0|0.0
6754|6|2|2|2
6756|1|0|0|1
6757|1|0|0|1|MULTIMSG|Vodafone Limited|GB|0.0|0.0
6758|2|0|0|2|AS6758|Monaco Telecom S.A.|MC|0.0|0.0
6760|2|0|0|2
6763|1|0|0|1|JOSEBA-2|Sky UK Limited|GB|0.0|0.0
6765|17|2|12|3
6770|4|3|0|1
6771|1|0|0|1
6774|4|0|1|3|ASN-BICS|Belgacom International Carrier Services SA|EU|0.0|0.0
6779|2|0|0|2|ICLNET-AS|Fujitsu Services Ltd.|GB|0.0|0.0
6783|3|1|0|2
6792|1|0|0|1
6795|2|0|0|2
6800|1|1|0|0
6804|1|0|0|1
6806|2|0|0|2
6809|2|0|0|2
6825|1|0|0|1|IDDQD-AS|Ray Connect GmbH|GB|0.0|0.0
6827|2|1|0|1
6835|1|0|0|1
6840|1|0|0|1
6841|10|2|6|2
6845|1|0|0|1
6847|3|0|1|2|VODAFONE-VONE-C|Vodafone Limited|GB|0.0|0.0
6859|3|0|0|3|KCP-AS|DIGITAL CONTINUITY LIMITED|GB|0.0|0.0
6864|1|0|0|1
6865|1|0|0|1
6871|2|0|0|2|Plusnet|British Telecommunications PLC|GB|0.0|0.0
6875|1|0|0|1
6884|1|0|0|1
6888|1|0|0|1
6889|3|0|1|2
6894|2|0|0|2|KDDI-EUROPE|KDDI Europe Ltd|GB|0.0|0.0
6896|1|0|0|1
6897|3|0|2|1
6901|2|0|0|2
6902|4|2|1|1
6904|2|1|0|1|ATT-ASIAPACIDC-SNG1-AS|AT&T Global Network Services Nederland B.V.|EU|0.0|0.0
6905|3|0|2|1|ATT-EMEAIDC-AMS1-AS|AT&T Global Network Services Nederland B.V.|EU|0.0|0.0
7040|2|0|0|2
7124|1|0|0|1
7346|2|0|0|2
7414|2|0|1|1
7420|1|0|0|1|ZAMNET-AS|Zamnet|ZM|0.0|0.0
7582|1|0|0|1|UMAC-AS-AP|University of Macau|MO|0.0|0.0
7642|2|0|0|2|DHIRAAGU-MV-AP|Dhiraagu Pvt.Ltd.|MV|0.0|0.0
7837|2|0|0|2
7864|1|0|0|1
7910|1|0|0|1
7984|1|0|0|1
8093|1|0|0|1|PROFOUND|MAID plc|EU|0.0|0.0
8198|2|1|0|1
8199|2|0|0|2
8205|2|0|0|2
8209|1|0|0|1
8212|1|0|0|1
8215|1|0|0|1
8225|2|0|1|1
8250|2|0|0|2
8252|1|0|0|1
8259|3|1|0|2
8272|4|1|0|3|NETSCALIBUR-UK|ClaraNET LTD|GB|0.0|0.0
8277|2|0|0|2
8284|2|1|0|1
8293|1|0|0|1
8296|2|2|0|0|HBVB|HBVB Private Unlimited|GB|0.0|0.0
8297|3|1|1|1|GIEUROPE|TATA Communications (Canada) Ltd.|EU|0.0|0.0
8306|1|0|0|1
8313|1|0|0|1
8316|2|0|1|1
8320|1|0|0|1
8321|1|0|0|1
8327|2|0|0|2
8330|1|0|0|1|LONAP|LONAP Ltd|GB|0.0|0.0
8332|1|0|0|1
8335|1|0|0|1
8336|1|1|0|0|InnovationGrpEMEA|THE INNOVATION GROUP (EMEA) LTD|GB|0.0|0.0
8340|1|0|0|1
8346|1|0|0|1||SONATEL-AS Autonomous System|EU|0.0|0.0
8349|1|0|0|1
8355|2|0|0|2
8366|2|0|0|2
8370|1|1|0|0
8383|1|0|0|1
8392|2|0|0|2
8397|3|0|1|2
8406|1|0|0|1
8407|1|0|0|1
8413|2|0|1|1
8417|1|0|0|1
8419|1|0|0|1|HOTCHILLI|HotChilli Internet Limited|GB|0.0|0.0
8421|1|0|0|1
8424|1|0|0|1
8425|1|0|0|1
8457|1|0|0|1||INDEXSCOPE LIMITED|GB|0.0|0.0
8465|2|0|1|1
8468|2|0|0|2|ENTANET|ENTANET International Limited|GB|0.0|0.0
8497|1|0|0|1
8498|3|1|0|2
8504|1|0|0|1
8509|1|0|0|1
8511|1|0|0|1|AS8511-AI|ASIAINFO TE|KG|0.0|0.0
8513|3|0|2|1|SKYVISION|SkyVision Global Networks Ltd|GB|0.0|0.0
8514|2|0|0|2
8516|2|1|0|1|TELIANET-LITHUANIA|Telia Company AB|EU|0.0|0.0
8525|1|0|0|1
8533|1|0|0|1
8553|1|0|0|1|AVENSYS|Avensys Networks Ltd|GB|0.0|0.0
8573|2|0|0|2
8583|1|0|0|1
10269|1|0|0|1||Belize Telemedia Limited|BZ|0.0|0.0
10278|2|0|0|2|CWWI-AS|Cable & Wireless (Barbados) Limited|BB|0.0|0.0
10292|3|0|1|2|CWJ-1|Cable & Wireless Jamaica|JM|0.0|0.0
