400,2,0,0,2,AFCONC-BLOCK1-AS,Air Force Systems Networking,US,41.08144,-81.51901
419,1,1,0,0,AFCONC-BLOCK1-AS,Air Force Systems Networking,US,41.08144,-81.51901
423,1,0,0,1,AFCONC-BLOCK1-AS,Air Force Systems Networking,US,41.08144,-81.51901
450,4,3,0,1,AFCONC-BLOCK1-AS,Air Force Systems Networking,US,41.08144,-81.51901
454,1,0,0,1,AFCONC-BLOCK1-AS,Air Force Systems Networking,US,41.08144,-81.51901
456,1,0,0,1,AFCONC-BLOCK1-AS,Air Force Systems Networking,US,41.08144,-81.51901
466,1,0,0,1,AFCONC-BLOCK1-AS,Air Force Systems Networking,US,41.08144,-81.51901
488,1,0,0,1,AFCONC-BLOCK1-AS,Air Force Systems Networking,US,41.08144,-81.51901
489,1,0,0,1,AFCONC-BLOCK1-AS,Air Force Systems Networking,US,41.08144,-81.51901
509,1,0,0,1,DNIC-AS-00509,DoD Network Information Center,US,41.08144,-81.51901
513,5,1,2,2,CERN,CERN - European Organization for Nuclear Research,CH,47.47333,8.30592
517,6,2,1,3,,KPN B.V.,NL,52.25917,4.75972
523,1,0,0,1,DNIC-AS-00523,"Headquarters, USAISC",US,41.08144,-81.51901
544,1,0,0,1,SONERA-FUNET-TRANSIT,Sonera Corporation,EU,0.0,0.0
549,7,1,5,1,GTANET-AS,GTAnet Networking,CA,43.351,-79.7833
552,1,0,0,1,DNIC-AS-00552,DoD Network Information Center,US,41.08144,-81.51901
555,1,0,0,1,VTSII,"Velocity Technology Solutions, Inc",US,41.08144,-81.51901
557,2,0,0,2,UMAINE-SYS-AS,University of Maine System,US,41.08144,-81.51901
559,2,0,0,2,SWITCH,SWITCH,EU,0.0,0.0
565,1,0,0,1,VTT-AS,VTT Technical Research Centre of Finland Ltd,FI,60.3372,24.6382
568,15,8,6,1,DNIC-AS-00568,DoD Network Information Center,US,41.08144,-81.51901
577,19,1,16,2,BACOM,Bell Canada,CA,43.351,-79.7833
600,5,0,4,1,OARNET-AS,OARnet,US,41.08144,-81.51901
611,1,0,0,1,NECN-1-611,NB-PEI Educational Computer Network,CA,43.351,-79.7833
613,2,0,0,2,BP-AS-613,"BP America, Inc.",US,41.08144,-81.51901
625,1,0,0,1,DNIC-ASBLK-00616-00665,DoD Network Information Center,US,41.08144,-81.51901
636,1,0,0,1,DNIC-ASBLK-00616-00665,DoD Network Information Center,US,41.08144,-81.51901
655,1,0,0,1,DNIC-ASBLK-00616-00665,DoD Network Information Center,US,41.08144,-81.51901
668,20,8,11,1,DNIC-AS-00668,DoD Network Information Center,US,41.08144,-81.51901
679,2,0,0,2,TUNET-AS,Technische Universitat Wien,AT,48.1233,14.8715
681,3,0,0,3,ERX-KAWAIHIKO-1,The University of Waikato,NZ,-36.8549,174.783
683,3,1,0,2,ARGONNE-AS,Argonne National Lab,US,41.08144,-81.51901
